profile_id,steering_condition,model_key,n_essays,n_words_concat,cell,target_O,target_N,target_emo_sad,target_focusfuture,target_mental,target_certitude,target_fatigue,target_Affect,target_adverb,target_swear,obs_emo_sad,obs_focusfuture,obs_mental,obs_certitude,obs_fatigue,obs_Affect,obs_adverb,obs_swear,raw_mae,standardized_mae,scored
syn_0008,lex_fewshot,deepseek-v3,6,1163,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.6,1.11,0.0,1.96,0.51,7.65,7.48,2.3,0.737171349013887,2.8021361722294147,True
syn_0008,lex_fewshot,gpt-4o-mini,6,1124,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.0,0.79,0.0,1.5,0.35,5.29,6.43,0.35,0.30509873007119825,1.1026771609673176,True
syn_0008,lex_fewshot,qwen3-32b,6,998,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.2,0.69,0.0,0.99,0.2,6.23,6.62,2.17,0.3938487300711982,1.3739670596635312,True
syn_0008,liwc_only,deepseek-v3,6,950,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.52,1.45,0.1,2.38,0.31,7.56,7.25,2.18,0.7371713490138869,2.4326691628625543,True
syn_0008,liwc_only,gpt-4o-mini,6,1170,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.09,1.28,0.0,1.71,0.26,6.31,6.91,0.09,0.2625987300711983,0.9587164358849535,True
syn_0008,liwc_only,qwen3-32b,6,1095,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.18,1.08,0.0,1.35,0.36,7.73,7.55,1.89,0.560921349013887,1.6718269051737034,True
syn_0008,persona_liwc,deepseek-v3,6,1154,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.52,1.03,0.0,2.23,0.34,8.42,7.04,1.8,0.728421349013887,2.3086934504349808,True
syn_0008,persona_liwc,gpt-4o-mini,6,1178,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.08,0.76,0.0,0.93,0.0,7.74,6.4,0.17,0.27865126992880174,0.5989734784483177,True
syn_0008,persona_liwc,qwen3-32b,6,1321,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.15,1.27,0.0,0.9,0.22,7.49,6.44,1.8,0.382171349013887,1.2186515661783646,True
syn_0008,persona_only,deepseek-v3,6,1301,nan,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45,0.31,0.53,0.15,0.61,0.08,6.64,5.87,0.15,0.3036512699288017,0.9191789304508654,True
