plan_id,profile_id,cell,content,steering_condition,repetition,model_key,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
deepseek-v3__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,,daily_life_change,persona_liwc,0,deepseek-v3,17.0,40.0,38.068916,69.2709,21.06891632080078,29.270896911621094,181,3.023988887538392
deepseek-v3__syn_0001__childhood_memory__persona_only__r0,syn_0001,,childhood_memory,persona_only,0,deepseek-v3,17.0,40.0,59.34439,76.038315,42.344390869140625,36.03831481933594,196,0.7028032145364199
qwen3-32b__syn_0000__childhood_memory__lex_fewshot__r0,syn_0000,,childhood_memory,lex_fewshot,0,qwen3-32b,50.0,80.0,58.811768,50.753998,8.811767578125,-29.246002197265625,245,1.875139148163136
deepseek-v3__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,,meaningful_relationship,persona_liwc,0,deepseek-v3,17.0,40.0,61.771587,53.80034,44.77158737182617,13.800338745117188,188,1.9000518914203937
deepseek-v3__syn_0001__meaningful_relationship__lex_fewshot__r0,syn_0001,,meaningful_relationship,lex_fewshot,0,deepseek-v3,17.0,40.0,58.64929,53.278397,41.649288177490234,13.278396606445312,205,1.2661024036687023
deepseek-v3__syn_0001__childhood_memory__liwc_only__r0,syn_0001,,childhood_memory,liwc_only,0,deepseek-v3,17.0,40.0,45.3622,59.176342,28.362201690673828,19.176342010498047,185,1.406713534547611
deepseek-v3__syn_0001__turning_point__persona_only__r0,syn_0001,,turning_point,persona_only,0,deepseek-v3,17.0,40.0,60.007153,58.921688,43.00715255737305,18.921688079833984,206,0.4782778287851155
deepseek-v3__syn_0001__turning_point__liwc_only__r0,syn_0001,,turning_point,liwc_only,0,deepseek-v3,17.0,40.0,50.311237,58.82141,33.31123733520508,18.8214111328125,194,0.7615309042435445
deepseek-v3__syn_0001__turning_point__persona_liwc__r0,syn_0001,,turning_point,persona_liwc,0,deepseek-v3,17.0,40.0,56.757328,69.3145,39.757328033447266,29.314498901367188,215,0.8553723108529537
deepseek-v3__syn_0001__turning_point__lex_fewshot__r0,syn_0001,,turning_point,lex_fewshot,0,deepseek-v3,17.0,40.0,44.620182,76.83063,27.620182037353516,36.83062744140625,197,1.207864936326005
deepseek-v3__syn_0001__childhood_memory__lex_fewshot__r0,syn_0001,,childhood_memory,lex_fewshot,0,deepseek-v3,17.0,40.0,63.260197,49.985863,46.260196685791016,9.985862731933594,51,1.653611695001029
qwen3-32b__syn_0001__memorable_journey__liwc_only__r0,syn_0001,,memorable_journey,liwc_only,0,qwen3-32b,17.0,40.0,64.27266,60.687923,47.27265930175781,20.687923431396484,212,1.924923336213873
qwen3-32b__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,,memorable_journey,lex_fewshot,0,qwen3-32b,17.0,40.0,43.29061,58.898033,26.290611267089844,18.898033142089844,89,1.3900401748170537
qwen3-32b__syn_0001__memorable_journey__persona_only__r0,syn_0001,,memorable_journey,persona_only,0,qwen3-32b,17.0,40.0,53.276115,59.645794,36.27611541748047,19.645793914794922,260,1.4067774710375427
qwen3-32b__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,,difficult_decision,persona_liwc,0,qwen3-32b,17.0,40.0,32.19763,42.724903,15.1976318359375,2.724903106689453,133,1.524063697526206
qwen3-32b__syn_0001__daily_life_change__liwc_only__r0,syn_0001,,daily_life_change,liwc_only,0,qwen3-32b,17.0,40.0,27.184475,64.78931,10.18447494506836,24.789306640625,131,1.169620264561466
qwen3-32b__syn_0001__difficult_decision__persona_only__r0,syn_0001,,difficult_decision,persona_only,0,qwen3-32b,17.0,40.0,51.5775,54.214252,34.57749938964844,14.214252471923828,221,1.9299720277171728
qwen3-32b__syn_0001__memorable_journey__persona_liwc__r0,syn_0001,,memorable_journey,persona_liwc,0,qwen3-32b,17.0,40.0,70.65095,67.60077,53.65094757080078,27.60076904296875,236,0.9932906823455284
qwen3-32b__syn_0001__difficult_decision__liwc_only__r0,syn_0001,,difficult_decision,liwc_only,0,qwen3-32b,17.0,40.0,46.7369,41.9405,29.736900329589844,1.9404983520507812,201,1.0832268905796814
qwen3-32b__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,,meaningful_relationship,persona_only,0,qwen3-32b,17.0,40.0,60.00833,67.18173,43.008331298828125,27.181732177734375,190,1.252466565048869
qwen3-32b__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,,daily_life_change,persona_liwc,0,qwen3-32b,17.0,40.0,32.05708,49.436337,15.057079315185547,9.436336517333984,182,1.1677873069631868
qwen3-32b__syn_0001__meaningful_relationship__liwc_only__r0,syn_0001,,meaningful_relationship,liwc_only,0,qwen3-32b,17.0,40.0,46.30242,71.45303,29.30242156982422,31.453033447265625,258,1.08206844075145
qwen3-32b__syn_0001__daily_life_change__persona_only__r0,syn_0001,,daily_life_change,persona_only,0,qwen3-32b,17.0,40.0,55.985683,55.086205,38.98568344116211,15.086204528808594,251,0.7071546270011739
qwen3-32b__syn_0001__meaningful_relationship__lex_fewshot__r0,syn_0001,,meaningful_relationship,lex_fewshot,0,qwen3-32b,17.0,40.0,58.150528,59.72244,41.15052795410156,19.72243881225586,196,3.6469020708177338
qwen3-32b__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,,meaningful_relationship,persona_liwc,0,qwen3-32b,17.0,40.0,68.10569,69.17117,51.105690002441406,29.171173095703125,228,0.6344572733112139
qwen3-32b__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,,daily_life_change,lex_fewshot,0,qwen3-32b,17.0,40.0,34.73499,64.15559,17.734989166259766,24.15558624267578,172,0.8123568735497413
qwen3-32b__syn_0001__childhood_memory__persona_liwc__r0,syn_0001,,childhood_memory,persona_liwc,0,qwen3-32b,17.0,40.0,43.788647,58.302032,26.788646697998047,18.302032470703125,193,1.0561573369824495
qwen3-32b__syn_0001__childhood_memory__lex_fewshot__r0,syn_0001,,childhood_memory,lex_fewshot,0,qwen3-32b,17.0,40.0,65.43546,49.771477,48.435462951660156,9.771476745605469,145,1.3646755515357505
qwen3-32b__syn_0001__turning_point__persona_only__r0,syn_0001,,turning_point,persona_only,0,qwen3-32b,17.0,40.0,60.194805,63.969448,43.19480514526367,23.96944808959961,199,2.1942788511693516
