model_key,steering_condition,metric,point,boot_mean,ci95_lo,ci95_hi
qwen3-32b,liwc_only,bfi_slope_O,-0.0118,-0.0119,-0.0422,0.0178
qwen3-32b,liwc_only,bfi_slope_N,0.0267,0.0264,-0.0564,0.1078
qwen3-32b,persona_liwc,liwc_MAE_LIWC,1.9104,1.9081,1.752,2.0631
qwen3-32b,persona_liwc,liwc_rho_LIWC,0.4422,0.442,0.397,0.485
qwen3-32b,persona_liwc,liwc_beta_LIWC,1.3004,1.3363,1.1546,1.6532
qwen3-32b,persona_liwc,emb_rho_O,0.2813,0.2823,0.1194,0.4352
qwen3-32b,persona_liwc,emb_rho_N,0.2028,0.2008,0.0344,0.3677
qwen3-32b,persona_liwc,bfi_rho_O,0.8089,0.8049,0.7376,0.8596
qwen3-32b,persona_liwc,bfi_rho_N,0.683,0.6779,0.5683,0.7718
qwen3-32b,persona_liwc,bfi_standardized_mae_O,0.8314,0.8314,0.7567,0.9042
qwen3-32b,persona_liwc,bfi_standardized_mae_N,0.5738,0.5743,0.5114,0.6363
qwen3-32b,persona_liwc,bfi_MAE_BFI,0.7026,0.7028,0.6541,0.7493
qwen3-32b,persona_liwc,bfi_slope_O,0.3569,0.357,0.3054,0.4093
qwen3-32b,persona_liwc,bfi_slope_N,0.4363,0.4351,0.3687,0.4969
qwen3-32b,lex_fewshot,liwc_MAE_LIWC,2.3573,2.3549,2.1536,2.5589
qwen3-32b,lex_fewshot,liwc_rho_LIWC,0.5282,0.5275,0.476,0.5755
qwen3-32b,lex_fewshot,liwc_beta_LIWC,1.6731,1.7103,1.4997,2.0248
qwen3-32b,lex_fewshot,emb_rho_O,0.1201,0.1178,-0.0588,0.2935
qwen3-32b,lex_fewshot,emb_rho_N,-0.1196,-0.115,-0.2773,0.0602
qwen3-32b,lex_fewshot,bfi_rho_O,-0.1169,-0.1164,-0.2889,0.0507
qwen3-32b,lex_fewshot,bfi_rho_N,0.1688,0.1664,-0.0036,0.3326
qwen3-32b,lex_fewshot,bfi_standardized_mae_O,0.9437,0.9439,0.8521,1.0408
qwen3-32b,lex_fewshot,bfi_standardized_mae_N,0.8935,0.894,0.8058,0.9805
qwen3-32b,lex_fewshot,bfi_MAE_BFI,0.9186,0.9189,0.8579,0.9825
qwen3-32b,lex_fewshot,bfi_slope_O,-0.0193,-0.0193,-0.0556,0.0154
qwen3-32b,lex_fewshot,bfi_slope_N,0.0708,0.0696,-0.0175,0.1533
