model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles,boot_id
qwen3-32b,lex_fewshot,2.4059082937359904,0.5551165716292116,1.6735499534250238,58,0.09126167508389021,-0.14824276830315825,58,-0.2528634136567026,0.18903734404324174,1.0098619428243372,0.874452081128709,0.942157011976523,-0.04595771990343402,0.07599806981661265,58,1582
qwen3-32b,persona_only,1.1943946382287987,0.13230083229941997,0.13095204705230834,48,-0.030148307036807785,0.4029771187582199,48,0.8367984931969942,0.8154490299315151,0.8853524773724833,0.4418164163066457,0.6635844468395645,0.4013212811976318,0.5605140265697863,48,1700
qwen3-32b,lex_fewshot,2.4118699349322754,0.5132854982139937,1.5668179133953677,55,0.10578002245821329,-0.1999350607765784,55,-0.06256099214183841,0.12501354597253642,0.9761164516189503,0.8793506946169627,0.9277335731179566,-0.008828812084274645,0.027186364467511284,55,32
qwen3-32b,liwc_only,2.0073114340224825,0.4995050344078716,1.471955676772121,49,0.07309666258501653,-0.14963627807664648,49,-0.1535632256044734,-0.024332331091290547,0.9996960440965577,0.9216413594187184,0.9606687017576381,-0.016649040614399067,0.0029398595745055932,49,1457
gpt-4o-mini,lex_fewshot,1.64488661272716,0.5421237910305623,0.932706772017563,48,-0.008200506397484614,-0.11252309685765362,48,-0.06643452053861151,-0.05445853980243685,1.306415134364304,0.9531376252704895,1.1297763798173968,-0.007489458951627671,-0.013776571762675919,48,1032
deepseek-v3,lex_fewshot,3.176272646777269,0.6711401511154662,2.3508784972556858,49,-0.08245055922681134,-0.06563736604426844,49,-0.18482092775176487,0.1201919427306583,0.8445708294989597,0.8154302010940753,0.8300005152965175,-0.03628003620981422,0.10532985961003817,49,774
deepseek-v3,liwc_only,2.817169568219037,0.6980108707997903,2.24390974807239,50,0.16203494758058012,-0.2626660981813102,50,-0.1910983090595295,0.3048555203137606,0.8129820316367453,0.8000176316776917,0.8064998316572185,-0.059895976948938494,0.19588283342029486,50,908
deepseek-v3,lex_fewshot,3.0153858741287176,0.647453554075091,2.207104527400925,52,-0.07907386279582178,-0.10867941358617586,52,-0.2582927267540574,0.035769962434854405,0.8752066904110799,0.8705152467526077,0.8728609685818438,-0.05687968198045157,0.05501151615512134,52,172
gpt-4o-mini,lex_fewshot,1.6770256486092883,0.5827695726171168,1.3927732058292168,50,0.11054529260352604,0.03790353928448502,50,-0.07010921312567522,0.14519113153134372,1.2583904113300346,0.8923470749866976,1.075368743158366,-0.01203857372384289,0.0954501375820345,50,1268
gpt-4o-mini,lex_fewshot,1.791150220122586,0.5797516117671272,0.9706613582572536,49,-0.11297735426144273,0.08173581753691948,49,0.15637777267621503,0.09430782444744239,1.2784340972332944,0.8434856282852188,1.0609598627592565,0.0238626789346799,0.06081863902409951,49,437
gpt-4o-mini,persona_only,1.117519421665778,0.022047238305082508,0.026184579039526673,46,0.37770454312670804,0.005925745406138907,46,0.8251622144824077,0.8713722194557804,1.3113802449312408,0.46943016407022886,0.8904052045007349,0.2793698896547731,0.5277208999605825,46,1594
gpt-4o-mini,liwc_only,1.8012466243315806,0.5898613000718815,1.2765511113864259,49,0.27605050242026363,0.16386249337499215,49,-0.1595402300932364,0.0680576255312212,1.2208581790393098,0.9307375738849394,1.0757978764621245,-0.02355496939242667,0.05176907700351584,49,1151
qwen3-32b,liwc_only,1.8829386850601364,0.5367088758477359,1.2991478284844797,53,0.0016946764729835046,-0.10797403555353459,53,-0.18682698886202997,0.12912271005366396,0.9474097345800523,0.8656939255324678,0.90655183005626,-0.030653811876171853,0.06889849380634366,53,817
qwen3-32b,lex_fewshot,2.4038342545011737,0.5383824267886126,1.8225468307109502,51,0.07053924344037854,-0.20414264729220513,51,-0.2198948864306787,0.137565669818993,0.9313216336679325,0.8798877411855847,0.9056046874267586,-0.04941531469586938,0.0548999639857504,51,1865
gpt-4o-mini,persona_only,1.0516546287739348,0.0127168431413992,0.019856558236394,54,0.23655757856576454,0.005452396639057468,54,0.8370062143962314,0.8402494374308709,1.3743203292806578,0.4312872214679797,0.9028037753743188,0.28719113199865015,0.5270343737204201,54,303
gpt-4o-mini,lex_fewshot,1.6529477777542485,0.5840429549321942,1.0322550517584443,54,0.013044476004820536,0.2460623515368917,54,-0.035582027391691674,0.10987565493371608,1.2115210554564415,0.8543075449414359,1.0329143001989387,-0.004225537729771941,0.05844025486427035,54,705
